0.	0.	0.203	0.12	0.485	0.017	0.068	0.002	0.005	0.
1.7	0.	0.203	0.12	0.485	0.017	0.068	0.002	0.005	0.
3.2	0.	0.146	0.08	0.295	0.017	0.048	0.004	0.011	0.006
5.2	0.	0.157	0.085	0.311	0.026	0.058	0.005	0.015	0.005
7.2	0.	0.199	0.125	0.412	0.043	0.13	0.005	0.022	0.014
9.2	0.006	0.12	0.126	0.315	0.037	0.12	0.005	0.017	0.021
11.2	0.001	0.083	0.091	0.204	0.025	0.069	0.003	0.004	0.009
13.2	0.017	0.117	0.106	0.242	0.035	0.065	0.002	0.004	0.006
15.2	0.018	0.137	0.121	0.265	0.039	0.065	0.	0.002	0.004
17.2	0.015	0.141	0.117	0.246	0.037	0.054	0.	0.001	0.003
20.	0.012	0.12	0.105	0.207	0.027	0.036	0.	0.001	0.002
22.5	0.013	0.125	0.108	0.199	0.026	0.029	0.	0.	0.001
25.	0.013	0.124	0.111	0.191	0.024	0.022	0.	0.	0.
27.5	0.016	0.125	0.115	0.18	0.024	0.018	0.	0.	0.
30.	0.016	0.127	0.118	0.171	0.024	0.016	0.	0.	0.
32.5	0.019	0.131	0.124	0.175	0.025	0.016	0.	0.	0.
35.	0.021	0.13	0.126	0.175	0.025	0.015	0.	0.	0.
37.5	0.024	0.13	0.127	0.17	0.026	0.015	0.	0.	0.
40.	0.026	0.127	0.123	0.16	0.026	0.015	0.	0.	0.
42.5	0.027	0.124	0.121	0.154	0.026	0.014	0.	0.	0.
45.	0.026	0.119	0.12	0.145	0.025	0.015	0.	0.	0.
47.5	0.025	0.115	0.117	0.135	0.025	0.016	0.	0.	0.
50.	0.023	0.108	0.109	0.124	0.023	0.016	0.	0.	0.
52.5	0.024	0.111	0.112	0.126	0.024	0.017	0.	0.	0.
55.	0.024	0.11	0.112	0.124	0.024	0.017	0.	0.	0.
57.5	0.023	0.108	0.11	0.12	0.023	0.017	0.	0.	0.
60.	0.024	0.109	0.112	0.119	0.024	0.017	0.	0.	0.
62.5	0.024	0.112	0.118	0.121	0.024	0.018	0.	0.	0.
65.	0.023	0.113	0.121	0.12	0.024	0.018	0.	0.	0.
67.5	0.02	0.11	0.12	0.116	0.024	0.017	0.	0.	0.
70.	0.019	0.121	0.132	0.128	0.026	0.019	0.	0.	0.
72.5	0.016	0.13	0.142	0.138	0.027	0.02	0.	0.	0.
75.	0.012	0.13	0.143	0.139	0.028	0.021	0.	0.	0.
77.5	0.009	0.13	0.144	0.141	0.028	0.021	0.	0.	0.
80.	0.007	0.136	0.152	0.148	0.029	0.021	0.	0.	0.
85.	0.006	0.132	0.15	0.145	0.028	0.021	0.	0.	0.
90.	0.005	0.119	0.136	0.132	0.027	0.019	0.	0.	0.
100.	0.004	0.117	0.134	0.129	0.026	0.018	0.	0.	0.
