0.025 1000 53
53
0.025  6.073
0.03  6.774
0.04  8.058
0.05  9.21
0.06  10.25
0.07  11.21
0.08  12.07
0.09  12.84
0.1  13.53
0.15  15.85
0.2  16.96
0.25  17.5
0.3  17.75
0.4  17.82
0.5  17.64
0.6  17.35
0.7  17.02
0.8  16.66
0.9  16.3
1  15.94
1.5  14.27
2  12.87
2.5  11.69
3  10.7
4  9.143
5  7.971
6  7.062
7  6.339
8  5.751
9  5.264
10  4.855
15  3.516
20  2.78
25  2.315
30  1.995
40  1.58
50  1.322
60  1.145
70  1.015
80  0.9166
90  0.8384
100  0.775
150  0.5794
200  0.4783
250  0.4166
300  0.3751
400  0.3233
500  0.2926
600  0.2726
700  0.2589
800  0.249
900  0.2416
1000  0.236
