0.025 1000 53
53
0.025  8.334
0.03  9.2
0.04  10.77
0.05  12.16
0.06  13.42
0.07  14.58
0.08  15.64
0.09  16.62
0.1  17.53
0.15  20.92
0.2  22.84
0.25  23.9
0.3  24.48
0.4  24.91
0.5  24.87
0.6  24.62
0.7  24.26
0.8  23.86
0.9  23.42
1  22.98
1.5  20.86
2  19
2.5  17.43
3  16.08
4  13.93
5  12.27
6  10.97
7  9.911
8  9.042
9  8.315
10  7.698
15  5.636
20  4.474
25  3.732
30  3.217
40  2.547
50  2.13
60  1.844
70  1.636
80  1.476
90  1.35
100  1.248
150  0.9324
200  0.7696
250  0.6702
300  0.6033
400  0.5198
500  0.4703
600  0.4381
700  0.4159
800  0.3999
900  0.3881
1000  0.379
