0.025 1000 53
53
0.025  5.209
0.03  5.812
0.04  6.943
0.05  7.995
0.06  8.978
0.07  9.901
0.08  10.77
0.09  11.59
0.1  12.36
0.15  15.41
0.2  17.25
0.25  18.34
0.3  18.99
0.4  19.64
0.5  19.83
0.6  19.82
0.7  19.7
0.8  19.51
0.9  19.28
1  19.02
1.5  17.66
2  16.36
2.5  15.19
3  14.16
4  12.45
5  11.08
6  9.982
7  9.073
8  8.313
9  7.669
10  7.118
15  5.244
20  4.171
25  3.481
30  3.001
40  2.378
50  1.99
60  1.724
70  1.53
80  1.381
90  1.264
100  1.169
150  0.8765
200  0.7247
250  0.6319
300  0.5695
400  0.4914
500  0.4451
600  0.415
700  0.3943
800  0.3794
900  0.3683
1000  0.3599
