0.025 1000 53
53
0.025  1.791
0.03  2.007
0.04  2.419
0.05  2.803
0.06  3.155
0.07  3.476
0.08  3.764
0.09  4.019
0.1  4.242
0.15  4.994
0.2  5.393
0.25  5.614
0.3  5.74
0.4  5.845
0.5  5.854
0.6  5.813
0.7  5.744
0.8  5.658
0.9  5.563
1  5.463
1.5  4.961
2  4.512
2.5  4.129
3  3.802
4  3.281
5  2.886
6  2.576
7  2.328
8  2.125
9  1.955
10  1.812
15  1.338
20  1.073
25  0.9027
30  0.7839
40  0.6281
50  0.5296
60  0.4615
70  0.4112
80  0.3726
90  0.3419
100  0.3169
150  0.2393
200  0.1989
250  0.174
300  0.1573
400  0.1363
500  0.1239
600  0.1159
700  0.1104
800  0.1064
900  0.1035
1000  0.1013
