0.025 1000 53
53
0.025  4.583
0.03  5.108
0.04  6.06
0.05  6.907
0.06  7.666
0.07  8.345
0.08  8.947
0.09  9.474
0.1  9.931
0.15  11.4
0.2  12.05
0.25  12.32
0.3  12.41
0.4  12.34
0.5  12.13
0.6  11.86
0.7  11.57
0.8  11.27
0.9  10.98
1  10.69
1.5  9.398
2  8.348
2.5  7.493
3  6.788
4  5.701
5  4.907
6  4.305
7  3.835
8  3.458
9  3.151
10  2.895
15  2.077
20  1.637
25  1.363
30  1.174
40  0.9308
50  0.7791
60  0.675
70  0.5989
80  0.5407
90  0.4946
100  0.4573
150  0.342
200  0.2825
250  0.2461
300  0.2217
400  0.1911
500  0.173
600  0.1613
700  0.1531
800  0.1473
900  0.143
1000  0.1397
